primary_key,match_key,date,time_of_day,name_team_A,name_team_B,gametime,score_team_A,score_team_B,odd_win_team_A,odd_draw,odd_win_team_B,prob_win_team_A,prob_draw,prob_win_team_B
Istanbulspor_AS_versus_Fatih_Karagümrük_time_2024-04-20 14:22:53,Istanbulspor_AS_versus_Fatih_Karagümrük,2024-04-20,14:22:53,Istanbulspor AS,Fatih Karagümrük,80',0,0,9.0,1.75,2.4,0.10108333333333334,0.5198571428571429,0.3790625
1._FC_Kaiserslautern_versus_SV_Wehen_Wies._time_2024-04-20 14:22:53,1._FC_Kaiserslautern_versus_SV_Wehen_Wies.,2024-04-20,14:22:53,1. FC Kaiserslautern,SV Wehen Wies.,65',1,0,1.22,5.0,15.0,0.7545245901639345,0.184104,0.061368
Fortuna_Düsseldorf_versus_Greuther_Fürth_time_2024-04-20 14:22:53,Fortuna_Düsseldorf_versus_Greuther_Fürth,2024-04-20,14:22:53,Fortuna Düsseldorf,Greuther Fürth,64',0,0,2.2,2.3,5.0,0.41727272727272724,0.39913043478260873,0.1836
VfL_1899_Osnabrück_versus_Eintr._Braunschweig_time_2024-04-20 14:22:53,VfL_1899_Osnabrück_versus_Eintr._Braunschweig,2024-04-20,14:22:53,VfL 1899 Osnabrück,Eintr. Braunschweig,62',0,3,100.0,50.0,1.0,0.0097087,0.0194174,0.97087
Erzgebirge_Aue_versus_SpVgg_Unterhaching_time_2024-04-20 14:22:53,Erzgebirge_Aue_versus_SpVgg_Unterhaching,2024-04-20,14:22:53,Erzgebirge Aue,SpVgg Unterhaching,22',0,0,1.9,3.4,3.8,0.48571578947368427,0.2714294117647059,0.24285789473684213
Hallescher_FC_versus_SC_Verl_time_2024-04-20 14:22:53,Hallescher_FC_versus_SC_Verl,2024-04-20,14:22:53,Hallescher FC,SC Verl,22',0,0,2.2,3.0,3.4,0.4201,0.30807333333333337,0.2718294117647059
VfB_Lübeck_versus_Borussia_Dortmund_II_time_2024-04-20 14:22:53,VfB_Lübeck_versus_Borussia_Dortmund_II,2024-04-20,14:22:53,VfB Lübeck,Borussia Dortmund II,22',0,2,16.0,8.5,1.1,0.057379374999999996,0.10800823529411764,0.8346090909090907
RC_Celta_de_Vigo_versus_UD_Las_Palmas_time_2024-04-20 14:22:53,RC_Celta_de_Vigo_versus_UD_Las_Palmas,2024-04-20,14:22:53,RC Celta de Vigo,UD Las Palmas,22',0,1,3.0,3.4,2.2,0.30807333333333337,0.2718294117647059,0.4201
1860_München_versus_1._FC_Saarbrücken_time_2024-04-20 14:22:53,1860_München_versus_1._FC_Saarbrücken,2024-04-20,14:22:53,1860 München,1. FC Saarbrücken,20',0,1,10.0,5.0,1.27,0.091962,0.183924,0.7241102362204724
Dynamo_Dresden_versus_FC_Viktoria_Köln_time_2024-04-20 14:22:53,Dynamo_Dresden_versus_FC_Viktoria_Köln,2024-04-20,14:22:53,Dynamo Dresden,FC Viktoria Köln,20',0,0,1.27,5.0,9.0,0.7167874015748031,0.182064,0.10114666666666666
GKS_Olimpia_Grudz._versus_KS_Wisla_Pulawy_time_2024-04-20 14:22:53,GKS_Olimpia_Grudz._versus_KS_Wisla_Pulawy,2024-04-20,14:22:53,GKS Olimpia Grudz.,KS Wisla Pulawy,90'+5,1,0,1.0,27.0,100.0,0.95508,0.03537333333333333,0.0095508
Sudeva_Delhi_FC_versus_FC_Bengaluru_United_time_2024-04-20 14:22:53,Sudeva_Delhi_FC_versus_FC_Bengaluru_United,2024-04-20,14:22:53,Sudeva Delhi FC,FC Bengaluru United,90'+2,1,0,1.05,7.5,45.0,0.8595999999999999,0.12034399999999999,0.020057333333333333
Phrae_United_versus_Ayutthaya_United_time_2024-04-20 14:22:53,Phrae_United_versus_Ayutthaya_United,2024-04-20,14:22:53,Phrae United,Ayutthaya United,90',0,1,120.0,7.0,1.06,0.00761325,0.13051285714285715,0.861877358490566
Bandirmaspor_versus_Tuzlaspor_time_2024-04-20 14:22:53,Bandirmaspor_versus_Tuzlaspor,2024-04-20,14:22:53,Bandirmaspor,Tuzlaspor,84',1,1,4.3,1.4,7.0,0.2134139534883721,0.6554857142857143,0.13109714285714286
Ethio_Electric_SC_versus_Oromia_Police_Fc_time_2024-04-20 14:22:53,Ethio_Electric_SC_versus_Oromia_Police_Fc,2024-04-20,14:22:53,Ethio Electric SC,Oromia Police Fc,70',1,0,1.08,7.0,25.0,0.8350833333333333,0.12884142857142858,0.0360756
Skövde_AIK_versus_Trelleborgs_FF_time_2024-04-20 14:22:53,Skövde_AIK_versus_Trelleborgs_FF,2024-04-20,14:22:53,Skövde AIK,Trelleborgs FF,67',1,0,1.35,3.8,11.0,0.6765925925925925,0.2403684210526316,0.08303636363636363
FC_Rosengaard_1917_versus_Onsala_BK_time_2024-04-20 14:22:53,FC_Rosengaard_1917_versus_Onsala_BK,2024-04-20,14:22:53,FC Rosengaard 1917,Onsala BK,65',1,1,2.1,2.3,5.2,0.43161428571428573,0.3940826086956522,0.17430576923076924
Pattaya_United_FC_versus_Chanthaburi_time_2024-04-20 14:22:53,Pattaya_United_FC_versus_Chanthaburi,2024-04-20,14:22:53,Pattaya United FC,Chanthaburi,65',1,1,2.2,2.1,5.5,0.40855909090909087,0.4280142857142857,0.16342363636363635
Istanbulspor_AS_versus_Fatih_Karagümrük_time_2024-04-20 14:23:06,Istanbulspor_AS_versus_Fatih_Karagümrük,2024-04-20,14:23:06,Istanbulspor AS,Fatih Karagümrük,80',0,0,9.0,1.75,2.4,0.10108333333333334,0.5198571428571429,0.3790625
1._FC_Kaiserslautern_versus_SV_Wehen_Wies._time_2024-04-20 14:23:06,1._FC_Kaiserslautern_versus_SV_Wehen_Wies.,2024-04-20,14:23:06,1. FC Kaiserslautern,SV Wehen Wies.,65',1,0,1.22,5.0,15.0,0.7545245901639345,0.184104,0.061368
Fortuna_Düsseldorf_versus_Greuther_Fürth_time_2024-04-20 14:23:06,Fortuna_Düsseldorf_versus_Greuther_Fürth,2024-04-20,14:23:06,Fortuna Düsseldorf,Greuther Fürth,64',0,0,2.2,2.3,5.0,0.41727272727272724,0.39913043478260873,0.1836
VfL_1899_Osnabrück_versus_Eintr._Braunschweig_time_2024-04-20 14:23:06,VfL_1899_Osnabrück_versus_Eintr._Braunschweig,2024-04-20,14:23:06,VfL 1899 Osnabrück,Eintr. Braunschweig,62',0,3,100.0,50.0,1.0,0.0097087,0.0194174,0.97087
Erzgebirge_Aue_versus_SpVgg_Unterhaching_time_2024-04-20 14:23:06,Erzgebirge_Aue_versus_SpVgg_Unterhaching,2024-04-20,14:23:06,Erzgebirge Aue,SpVgg Unterhaching,23',0,0,1.9,3.4,3.8,0.48571578947368427,0.2714294117647059,0.24285789473684213
